EmployeeID,LastName,FirstName,OccupationID,OccupationTitle
24,STEWART,JON,5,DISTRICT MANAGER
25,GAYLE,CHRIS,1,CUSTOMER SERVICE REPRESENTATIVE
26,McGREGOR,CONNORS,1,CUSTOMER SERVICE REPRESENTATIVE
27,DIAZ,NATE,2,SHIFT LEADER
28,DIAZ,NICK,6,REGIONAL MANAGER
29,OWENS,BENJAMIN,3,ASSISTANT MANAGER
30,SCOTT,MICHAEL,6,REGIONAL MANAGER
31,HALPERT,JIM,4,STORE MANAGER
32,FOSTER,DERRICK,1,CUSTOMER SERVICE REPRESENTATIVE
33,SCHRUTE,DWIGHT,1,CUSTOMER SERVICE REPRESENTATIVE
34,PAIGE,CARRINGTON,4,STORE MANAGER
35,SCHACHT,BRADLEY,5,DISTRICT MANAGER
36,BEESLY,PAM,3,ASSISTANT MANAGER
37,LANDEN,COLLIN,1,CUSTOMER SERVICE REPRESENTATIVE
38,SHOWALTER,CHRISTOPHER,2,SHIFT LEADER
39,MCNAMARA,SEAN,6,REGIONAL MANAGER
40,COLBERT,STEPHEN,4,STORE MANAGER
41,RYAN,DUSTIN,5,DISTRICT MANAGER
42,TROY,CHRISTIAN,6,REGIONAL MANAGER
43,WOOD,JOHN,1,CUSTOMER SERVICE REPRESENTATIVE
44,ENGLE,DANIEL,3,ASSISTANT MANAGER
45,ISHEE,SAM,2,SHIFT LEADER
46,STEWART,JON,5,DISTRICT MANAGER
47,GAYLE,CHRIS,1,CUSTOMER SERVICE REPRESENTATIVE
48,McGREGOR,CONNORS,1,CUSTOMER SERVICE REPRESENTATIVE
49,DIAZ,NATE,2,SHIFT LEADER
50,DIAZ,NICK,6,REGIONAL MANAGER
